Station Name,Date/Time (LST),Year,Month,Day,Time (LST),Temp,Dew Point,Rel_H,Wind Dir,Wind Spd,Solar Radiation,,,ta,rh,dpT,ws,gws,wd,rsds,,dta,dws,drh,drsds
OTTAWA INTL A,2024-06-15 0:00,2024,6,15,0:00,12.2,9.4,83,5,13,1.855775967,,,13.09336667,88.20891667,11.19996667,0.17,0.403333333,87.06666667,1,,0.89336667,3.441111111,5.20891667,0.855775967
OTTAWA INTL A,2024-06-15 1:00,2024,6,15,1:00,11.7,9,83,5,13,1.961655633,,,12.08275,91.94468333,10.82458333,0.16,0.378333333,181.5166667,1,,0.38275,3.451111111,8.94468333,0.961655633
OTTAWA INTL A,2024-06-15 2:00,2024,6,15,2:00,10.3,9.6,95,3,14,1.4668738,,,11.38925,92.96956667,10.30535,0.06,0.198333333,160.5333333,1,,1.08925,3.828888889,2.03043333,0.4668738
OTTAWA INTL A,2024-06-15 3:00,2024,6,15,3:00,11.4,9.9,91,1,17,1.551513917,,,11.11006667,91.79606667,9.83825,0.105,0.33,194.2,1,,0.28993333,4.617222222,0.79606667,0.551513917
OTTAWA INTL A,2024-06-15 4:00,2024,6,15,4:00,11.8,8.8,82,1,12,1.5730336,,,11.26736667,90.60965,9.797483333,0.095,0.328333333,198.2166667,1,,0.53263333,3.238333333,8.60965,0.5730336
OTTAWA INTL A,2024-06-15 5:00,2024,6,15,5:00,12.1,9,81,35,14,15.99152182,,,11.55691667,88.0309,9.654416667,0.136666667,0.418333333,161.1,1.25,,0.54308333,3.752222222,7.0309,14.74152182
OTTAWA INTL A,2024-06-15 6:00,2024,6,15,6:00,12.1,7.8,74,36,22,88.06809713,,,11.91521667,82.65,9.06655,0.515,0.863333333,45.35,7.833333333,,0.18478333,5.596111111,8.65,80.2347638
OTTAWA INTL A,2024-06-15 7:00,2024,6,15,7:00,12.2,6.9,70,2,26,236.3693762,,,11.87716667,75.0432,7.593,0.705,1.035,52.8,19.65,,0.32283333,6.517222222,5.0432,216.7193762
OTTAWA INTL A,2024-06-15 8:00,2024,6,15,8:00,12.8,4.5,57,2,23,475.5991745,,,12.20825,65.98826667,6.037233333,0.608333333,0.995,46.16666667,48.71666667,,0.59175,5.780555556,8.98826667,426.8825078
OTTAWA INTL A,2024-06-15 9:00,2024,6,15,9:00,14.7,3.3,46,35,20,637.6054622,,,12.73731667,58.63675,4.840033333,0.666666667,1.013333333,58.58333333,60.25,,1.96268333,4.888888889,12.63675,577.3554622
OTTAWA INTL A,2024-06-15 10:00,2024,6,15,10:00,14.9,3,45,1,10,742.8444707,,,13.63813333,53.9465,4.482183333,0.53,0.9,99.01666667,78.96666667,,1.26186667,2.247777778,8.9465,663.877804
OTTAWA INTL A,2024-06-15 11:00,2024,6,15,11:00,16.1,2.8,40,34,18,934.3005687,,,14.62576667,49.19096667,4.087,0.541666667,0.93,160.1833333,80.28333333,,1.47423333,4.458333333,9.19096667,854.0172354
OTTAWA INTL A,2024-06-15 12:00,2024,6,15,12:00,16.6,3.8,42,36,21,954.2889128,,,15.50658333,49.1853,4.88725,0.471666667,0.876666667,231.6166667,72.35,,1.09341667,5.361666666,7.1853,881.9389128
OTTAWA INTL A,2024-06-15 13:00,2024,6,15,13:00,17.2,2.9,38,33,25,983.0968602,,,16.37281667,47.0869,5.0543,0.535,0.981666667,217.3666667,72.71666667,,0.82718333,6.409444444,9.0869,910.3801935
OTTAWA INTL A,2024-06-15 14:00,2024,6,15,14:00,18.4,2.8,35,35,22,930.082173,,,16.75746667,43.74666667,4.357183333,0.553333333,1.008333333,122.8166667,71.45,,1.64253333,5.557777778,8.74666667,858.632173
OTTAWA INTL A,2024-06-15 15:00,2024,6,15,15:00,18.8,2.5,33,1,20,791.1477553,,,17.17481667,44.54415,4.993133333,0.481666667,0.888333333,135.7833333,55.43333333,,1.62518333,5.073888889,11.54415,735.714422
OTTAWA INTL A,2024-06-15 16:00,2024,6,15,16:00,18.8,2.3,33,35,17,650.5162298,,,17.38036667,43.13876667,4.712966667,0.448333333,0.86,138.0166667,37.35,,1.41963333,4.273888889,10.13876667,613.1662298
OTTAWA INTL A,2024-06-15 17:00,2024,6,15,17:00,18.9,2.2,32,33,19,520.1880058,,,17.449,45.48008333,5.536866667,0.256666667,0.64,94.16666667,24.16666667,,1.451,5.021111111,13.48008333,496.0213391
OTTAWA INTL A,2024-06-15 18:00,2024,6,15,18:00,18.7,2.5,34,34,18,334.7600055,,,17.2993,46.55188333,5.737283333,0.19,0.543333333,124.3,11.18333333,,1.4007,4.81,12.55188333,323.5766722
OTTAWA INTL A,2024-06-15 19:00,2024,6,15,19:00,17.7,3.4,38,34,11,145.7914227,,,16.56715,48.05523333,5.532933333,0.025,0.228333333,170.8666667,3.516666667,,1.13285,3.030555556,10.05523333,142.274756
OTTAWA INTL A,2024-06-15 20:00,2024,6,15,20:00,15.6,3.6,44,6,7,25.4405598,,,15.57381667,52.33021667,5.818866667,0.035,0.251666667,196.85,1,,0.02618333,1.909444444,8.33021667,24.4405598
OTTAWA INTL A,2024-06-15 21:00,2024,6,15,21:00,11.5,5.4,66,9,4,2.453211533,,,14.47496667,56.94056667,6.05455,0.155,0.395,195.1666667,1,,2.97496667,0.956111111,9.05943333,1.453211533
OTTAWA INTL A,2024-06-15 22:00,2024,6,15,22:00,11.1,4.9,65,20,5,2.142818283,,,13.5848,59.30758333,5.785433333,0.115,0.283333333,200.8666667,1,,2.4848,1.273888889,5.69241667,1.142818283
OTTAWA INTL A,2024-06-15 23:00,2024,6,15,23:00,10.5,5.8,72,17,3,2.2019422,,,12.34585,77.80741667,8.584016667,0.14,0.338333333,146.8166667,1,,1.84585,0.693333333,5.80741667,1.2019422
OTTAWA INTL A,2024-06-16 0:00,2024,6,16,0:00,10.9,5.1,67,36,3,1.90115045,,,11.09861667,82.97563333,8.324016667,0.08,0.306666667,197.7166667,1,,0.19861667,0.753333333,15.97563333,0.90115045
OTTAWA INTL A,2024-06-16 1:00,2024,6,16,1:00,9,4.9,75,36,3,1.682090883,,,10.20573333,87.90485,8.294966667,0.186666667,0.451666667,201.0166667,1,,1.20573333,0.646666666,12.90485,0.682090883
