Station Name,Date/Time (LST),Year,Month,Day,Time (LST),Temp,Dew Point,Rel_H,Wind Dir,Wind Spd,Solar Radiation,,,ta,rh,dpT,ws,gws,wd,rsds,,dta,dws,drh
OTTAWA INTL A,2024-06-15 0:00,2024,6,15,0:00,12.2,9.4,83,5,13,1.855775967,,,12.83161667,83.61358333,10.13838333,0.066666667,0.633333333,356.5,,,0.63161667,3.544444444,0.61358333
OTTAWA INTL A,2024-06-15 1:00,2024,6,15,1:00,11.7,9,83,5,13,1.961655633,,,12.21503333,88.13918333,10.32223333,0,0.266666667,337.7666667,,,0.51503333,3.611111111,5.13918333
OTTAWA INTL A,2024-06-15 2:00,2024,6,15,2:00,10.3,9.6,95,3,14,1.4668738,,,11.57161667,86.7833,9.45275,0.141666667,0.633333333,120.8,,,1.27161667,3.747222222,8.2167
OTTAWA INTL A,2024-06-15 3:00,2024,6,15,3:00,11.4,9.9,91,1,17,1.551513917,,,11.45443333,83.69438333,8.803966667,0.45,1.225,308.3166667,,,0.05443333,4.272222222,7.30561667
OTTAWA INTL A,2024-06-15 4:00,2024,6,15,4:00,11.8,8.8,82,1,12,1.5730336,,,11.44333333,82.60875,8.597983333,0.358333333,1.125,332.6166667,,,0.35666667,2.975,0.60875
OTTAWA INTL A,2024-06-15 5:00,2024,6,15,5:00,12.1,9,81,35,14,15.99152182,,,11.51306667,81.6977,8.503933333,0.808333333,1.733333333,335.6,,,0.58693333,3.080555556,0.6977
OTTAWA INTL A,2024-06-15 6:00,2024,6,15,6:00,12.1,7.8,74,36,22,88.06809713,,,11.82896667,76.49491667,7.8378,1.525,2.841666667,320.15,,,0.27103333,4.586111111,2.49491667
OTTAWA INTL A,2024-06-15 7:00,2024,6,15,7:00,12.2,6.9,70,2,26,236.3693762,,,12.30228333,67.94213333,6.529383333,2.441666667,4.1,327.7833333,,,0.10228333,4.780555555,2.05786667
OTTAWA INTL A,2024-06-15 8:00,2024,6,15,8:00,12.8,4.5,57,2,23,475.5991745,,,13.10616667,55.59273333,4.394583333,2.758333333,4.508333333,307.7166667,,,0.30616667,3.630555556,1.40726667
OTTAWA INTL A,2024-06-15 9:00,2024,6,15,9:00,14.7,3.3,46,35,20,637.6054622,,,14.22325,48.23041667,3.441633333,2.666666667,4.483333333,326.9666667,,,0.47675,2.888888889,2.23041667
OTTAWA INTL A,2024-06-15 10:00,2024,6,15,10:00,14.9,3,45,1,10,742.8444707,,,15.24203333,45.69645,3.595033333,1.758333333,3.175,252.55,,,0.34203333,1.019444445,0.69645
OTTAWA INTL A,2024-06-15 11:00,2024,6,15,11:00,16.1,2.8,40,34,18,934.3005687,,,16.06953333,42.80271667,3.420933333,1.933333333,3.391666667,302.9333333,,,0.03046667,3.066666667,2.80271667
OTTAWA INTL A,2024-06-15 12:00,2024,6,15,12:00,16.6,3.8,42,36,21,954.2889128,,,16.71905,42.54598333,3.924866667,1.875,3.458333333,290.7833333,,,0.11905,3.958333333,0.54598333
OTTAWA INTL A,2024-06-15 13:00,2024,6,15,13:00,17.2,2.9,38,33,25,983.0968602,,,17.3493,41.32811667,4.080283333,2.983333333,4.911666667,291.7333333,,,0.1493,3.961111111,3.32811667
OTTAWA INTL A,2024-06-15 14:00,2024,6,15,14:00,18.4,2.8,35,35,22,930.082173,,,18.06128333,38.60891667,3.74185,2.541666667,4.108333333,311,,,0.33871667,3.569444444,3.60891667
OTTAWA INTL A,2024-06-15 15:00,2024,6,15,15:00,18.8,2.5,33,1,20,791.1477553,,,18.74236667,36.941,3.72295,2.258333333,3.766666667,314.9833333,,,0.05763333,3.297222223,3.941
OTTAWA INTL A,2024-06-15 16:00,2024,6,15,16:00,18.8,2.3,33,35,17,650.5162298,,,19.44766667,35.06041667,3.61105,2.208333333,3.675,272.0666667,,,0.64766667,2.513888889,2.06041667
