Station Name,Date/Time (LST),Year,Month,Day,Time (LST),Temp,Dew Point,Rel_H,Wind Dir,Wind Spd,Solar Radiation,,,ta,rh,dpT,ws,gws,wd,rsds,,dta,dws,drh,drsds
OTTAWA INTL A,2024-06-15 0:00,2024,6,15,0:00,12.2,9.4,83,5,13,1.855775967,,,13.28423333,83.32325,10.53023333,0,0,7,1,,1.08423333,3.611111111,0.32325,0.855775967
OTTAWA INTL A,2024-06-15 1:00,2024,6,15,1:00,11.7,9,83,5,13,1.961655633,,,12.49313333,87.47395,10.48315,0,0,7,1,,0.79313333,3.611111111,4.47395,0.961655633
OTTAWA INTL A,2024-06-15 2:00,2024,6,15,2:00,10.3,9.6,95,3,14,1.4668738,,,11.7285,86.71495,9.598366667,0,0.066666667,6.583333333,1,,1.4285,3.888888889,8.28505,0.4668738
OTTAWA INTL A,2024-06-15 3:00,2024,6,15,3:00,11.4,9.9,91,1,17,1.551513917,,,11.5492,84.67755,9.069266667,0,0.125,6.433333333,1,,0.1492,4.722222222,6.32245,0.551513917
OTTAWA INTL A,2024-06-15 4:00,2024,6,15,4:00,11.8,8.8,82,1,12,1.5730336,,,11.53446667,83.58181667,8.860716667,0,0.291666667,6.583333333,1,,0.26553333,3.333333333,1.58181667,0.5730336
OTTAWA INTL A,2024-06-15 5:00,2024,6,15,5:00,12.1,9,81,35,14,15.99152182,,,11.67206667,82.06568333,8.725966667,0.166666667,0.966666667,30.08333333,2.55,,0.42793333,3.722222222,1.06568333,13.44152182
OTTAWA INTL A,2024-06-15 6:00,2024,6,15,6:00,12.1,7.8,74,36,22,88.06809713,,,11.91546667,76.73053333,7.9686,0.516666667,1.775,49.18333333,24.85,,0.18453333,5.594444444,2.73053333,63.21809713
OTTAWA INTL A,2024-06-15 7:00,2024,6,15,7:00,12.2,6.9,70,2,26,236.3693762,,,12.09138333,68.63978333,6.481433333,1.125,2.791666667,70.91666667,72.53333333,,0.10861667,6.097222222,1.36021667,163.8360429
OTTAWA INTL A,2024-06-15 8:00,2024,6,15,8:00,12.8,4.5,57,2,23,475.5991745,,,12.63433333,56.15316667,4.1134,1.4,3.125,52.73333333,145.7333333,,0.16566667,4.988888889,0.84683333,329.8658412
OTTAWA INTL A,2024-06-15 9:00,2024,6,15,9:00,14.7,3.3,46,35,20,637.6054622,,,13.35391667,48.96831667,2.859583333,1.516666667,3.141666667,164.7166667,130.5,,1.34608333,4.038888889,2.96831667,507.1054622
OTTAWA INTL A,2024-06-15 10:00,2024,6,15,10:00,14.9,3,45,1,10,742.8444707,,,14.17253333,47.33258333,3.1291,0.608333333,1.925,120.6,201.1666667,,0.72746667,2.169444445,2.33258333,541.677804
OTTAWA INTL A,2024-06-15 11:00,2024,6,15,11:00,16.1,2.8,40,34,18,934.3005687,,,14.96781667,43.16596667,2.557716667,0.791666667,2.225,231.9,354.75,,1.13218333,4.208333333,3.16596667,579.5505687
OTTAWA INTL A,2024-06-15 12:00,2024,6,15,12:00,16.6,3.8,42,36,21,954.2889128,,,15.89295,42.49438333,3.169866667,0.925,2.3,295.95,92.98333333,,0.70705,4.908333333,0.49438333,861.3055795
OTTAWA INTL A,2024-06-15 13:00,2024,6,15,13:00,17.2,2.9,38,33,25,983.0968602,,,16.60183333,40.3852,3.0894,1.575,3.308333333,301.2,147,,0.59816667,5.369444444,2.3852,836.0968602
OTTAWA INTL A,2024-06-15 14:00,2024,6,15,14:00,18.4,2.8,35,35,22,930.082173,,,17.23065,38.07881667,2.820016667,1.275,2.9,246.2666667,100.8666667,,1.16935,4.836111111,3.07881667,829.2155063
OTTAWA INTL A,2024-06-15 15:00,2024,6,15,15:00,18.8,2.5,33,1,20,791.1477553,,,17.81761667,36.32298333,2.679133333,1,2.408333333,212.1666667,69.55,,0.98238333,4.555555556,3.32298333,721.5977553
OTTAWA INTL A,2024-06-15 16:00,2024,6,15,16:00,18.8,2.3,33,35,17,650.5162298,,,18.4438,35.02683333,2.723183333,0.95,2.383333333,156.7333333,97.61666667,,0.3562,3.772222222,2.02683333,552.8995631
OTTAWA INTL A,2024-06-15 17:00,2024,6,15,17:00,18.9,2.2,32,33,19,520.1880058,,,18.89956667,34.2638,2.813083333,0.741666667,2.05,167.85,57.51666667,,0.00043333,4.536111111,2.2638,462.6713391
OTTAWA INTL A,2024-06-15 18:00,2024,6,15,18:00,18.7,2.5,34,34,18,334.7600055,,,19.06116667,34.39676667,3.010216667,0.608333333,1.833333333,204.85,53.51666667,,0.36116667,4.391666667,0.39676667,281.2433388
OTTAWA INTL A,2024-06-15 19:00,2024,6,15,19:00,17.7,3.4,38,34,11,145.7914227,,,18.93206667,34.66063333,3.007283333,0.408333333,1.375,228.9166667,56.23333333,,1.23206667,2.647222223,3.33936667,89.55808937
OTTAWA INTL A,2024-06-15 20:00,2024,6,15,20:00,15.6,3.6,44,6,7,25.4405598,,,17.4391,40.5444,3.852883333,0.033333333,0.233333333,352.0333333,16.5,,1.8391,1.911111111,3.4556,8.9405598
OTTAWA INTL A,2024-06-15 21:00,2024,6,15,21:00,11.5,5.4,66,9,4,2.453211533,,,15.17735,48.65616667,4.444583333,0,0,358,1,,3.67735,1.111111111,17.34383333,1.453211533
OTTAWA INTL A,2024-06-15 22:00,2024,6,15,22:00,11.1,4.9,65,20,5,2.142818283,,,14.38368333,50.95051667,4.3243,0,0,358,1,,3.28368333,1.388888889,14.04948333,1.142818283
OTTAWA INTL A,2024-06-15 23:00,2024,6,15,23:00,10.5,5.8,72,17,3,2.2019422,,,12.85023333,72.30696667,7.971116667,0,0.05,358,1,,2.35023333,0.833333333,0.30696667,1.2019422
OTTAWA INTL A,2024-06-16 0:00,2024,6,16,0:00,10.9,5.1,67,36,3,1.90115045,,,11.6671,76.5454,7.69455,0,0,358,1,,0.7671,0.833333333,9.5454,0.90115045
OTTAWA INTL A,2024-06-16 1:00,2024,6,16,1:00,9,4.9,75,36,3,1.682090883,,,11.07015,79.26471667,7.622616667,0,0.058333333,349.8166667,1,,2.07015,0.833333333,4.26471667,0.682090883
OTTAWA INTL A,2024-06-16 2:00,2024,6,16,2:00,8,4.5,79,36,2,1.789295333,,,10.33693333,85.84578333,8.0765,0,0,330,1,,2.33693333,0.555555556,6.84578333,0.789295333
OTTAWA INTL A,2024-06-16 3:00,2024,6,16,3:00,6.8,5.2,90,5,5,1.75962735,,,9.317066667,88.30861667,7.491983333,0,0,330,1,,2.517066667,1.388888889,1.69138333,0.75962735
OTTAWA INTL A,2024-06-16 4:00,2024,6,16,4:00,8.4,5.7,83,36,1,1.99664055,,,9.129466667,88.93516667,7.4082,0,0.075,329.5166667,1,,0.729466667,0.277777778,5.93516667,0.99664055
OTTAWA INTL A,2024-06-16 5:00,2024,6,16,5:00,7.2,6.8,97,23,4,18.54827452,,,9.154383333,86.89475,7.09435,0,0.158333333,318.1333333,5.716666667,,1.954383333,1.111111111,10.10525,12.83160785
OTTAWA INTL A,2024-06-16 6:00,2024,6,16,6:00,12.1,8.2,77,36,1,147.2565067,,,10.8649,81.58011667,7.8201,0,0.075,217.6666667,100.8833333,,1.2351,0.277777778,4.58011667,46.3731734
OTTAWA INTL A,2024-06-16 7:00,2024,6,16,7:00,14.7,7,60,36,1,259.1059498,,,12.85778333,76.01571667,8.7455,0.008333333,0.35,49.4,141.95,,1.84221667,0.269444445,16.01571667,117.1559498
OTTAWA INTL A,2024-06-16 8:00,2024,6,16,8:00,16.8,8.3,57,19,7,445.144763,,,14.93428333,70.23461667,9.5715,0.016666667,0.291666667,32.03333333,131.0166667,,1.86571667,1.927777777,13.23461667,314.1280963
OTTAWA INTL A,2024-06-16 9:00,2024,6,16,9:00,18.1,6.6,46,14,9,571.660524,,,16.97221667,59.0235,8.90315,0.05,0.5,119.1,119.5666667,,1.12778333,2.45,13.0235,452.0938573
OTTAWA INTL A,2024-06-16 10:00,2024,6,16,10:00,18.9,5.8,42,19,6,563.2739605,,,18.33198333,53.28141667,8.671733333,0.116666667,0.908333333,163.0333333,120.6,,0.56801667,1.55,11.28141667,442.6739605
OTTAWA INTL A,2024-06-16 11:00,2024,6,16,11:00,19.5,5.5,40,18,3,718.824472,,,19.42443333,46.50826667,7.646733333,0.2,1.1,181.7333333,274.9666667,,0.07556667,0.633333333,6.50826667,443.8578053
OTTAWA INTL A,2024-06-16 12:00,2024,6,16,12:00,20.1,6,39,19,7,683.7904183,,,20.10283333,42.3727,6.914716667,0.25,1.091666667,182.1666667,106.8666667,,0.00283333,1.694444444,3.3727,576.9237516
OTTAWA INTL A,2024-06-16 13:00,2024,6,16,13:00,20.5,6.2,39,13,4,552.9251322,,,20.44433333,40.60375,6.611883333,0.116666667,0.858333333,197.9833333,100.8333333,,0.05566667,0.994444444,1.60375,452.0917989
OTTAWA INTL A,2024-06-16 14:00,2024,6,16,14:00,20.8,6.5,39,15,11,472.4676862,,,20.70831667,38.94401667,6.24005,0.166666667,0.833333333,185.15,87.75,,0.09168333,2.888888889,0.05598333,384.7176862
OTTAWA INTL A,2024-06-16 15:00,2024,6,16,15:00,20.3,6.7,41,18,9,350.8449182,,,20.80881667,41.01478333,7.084833333,0.158333333,1.066666667,161.5666667,71.01666667,,0.50881667,2.341666667,0.01478333,279.8282515
OTTAWA INTL A,2024-06-16 16:00,2024,6,16,16:00,20.5,7.1,42,17,10,315.3948852,,,20.98218333,41.82208333,7.52805,0.15,0.975,190.35,61.43333333,,0.48218333,2.627777778,0.17791667,253.9615519
OTTAWA INTL A,2024-06-16 17:00,2024,6,16,17:00,19.6,8.6,49,17,5,172.7981082,,,20.70838333,40.48281667,6.8071,0.091666667,0.875,205.35,37.56666667,,1.10838333,1.297222222,8.51718333,135.2314415
OTTAWA INTL A,2024-06-16 18:00,2024,6,16,18:00,19.1,10.2,56,14,7,79.37294955,,,20.31723333,41.55438333,6.841116667,0.033333333,0.6,189.3,16.05,,1.21723333,1.911111111,14.44561667,63.32294955
OTTAWA INTL A,2024-06-16 19:00,2024,6,16,19:00,18.6,10.7,60,13,7,95.70961968,,,20.2851,41.95793333,6.94035,0.008333333,0.391666667,193.4333333,20.8,,1.6851,1.936111111,18.04206667,74.90961968
OTTAWA INTL A,2024-06-16 20:00,2024,6,16,20:00,14.5,10.4,77,13,8,15.98079007,,,19.29825,48.65865,8.219583333,0,0.058333333,187,2.883333333,,4.79825,2.222222222,28.34135,13.09745674
OTTAWA INTL A,2024-06-16 21:00,2024,6,16,21:00,14.2,9.5,73,12,11,2.06833655,,,18.17791667,54.9217,8.980466667,0,0,187,1,,3.97791667,3.055555556,18.0783,1.06833655
OTTAWA INTL A,2024-06-16 22:00,2024,6,16,22:00,15.2,9.2,67,12,8,1.760740583,,,17.70461667,56.15116667,8.872633333,0,0.033333333,187,1,,2.50461667,2.222222222,10.84883333,0.760740583
OTTAWA INTL A,2024-06-16 23:00,2024,6,16,23:00,15.4,10,70,10,12,1.676987583,,,17.53415,55.59575,8.566916667,0,0.033333333,187,1,,2.13415,3.333333333,14.40425,0.676987583
OTTAWA INTL A,2024-06-17 0:00,2024,6,17,0:00,15.7,9.9,68,8,9,1.557823783,,,16.81913333,60.64736667,9.161666667,0,0,187,1,,1.11913333,2.5,7.35263333,0.557823783
OTTAWA INTL A,2024-06-17 1:00,2024,6,17,1:00,15.2,10.6,74,10,11,1.742886717,,,16.27018333,67.40348333,10.22858333,0,0.05,187,1,,1.07018333,3.055555556,6.59651667,0.742886717
OTTAWA INTL A,2024-06-17 2:00,2024,6,17,2:00,15.1,11.3,78,8,8,1.83834785,,,15.87975,76.61858333,11.7944,0,0.233333333,80.13333333,1,,0.77975,2.222222222,1.38141667,0.83834785
OTTAWA INTL A,2024-06-17 3:00,2024,6,17,3:00,15.2,11.6,79,9,9,1.490834033,,,15.94916667,70.42065,10.58406667,0,0.1,52.93333333,1,,0.74916667,2.5,8.57935,0.490834033
OTTAWA INTL A,2024-06-17 4:00,2024,6,17,4:00,15.2,12.5,84,6,8,2.135511067,,,15.96518333,68.72348333,10.23775,0,0.133333333,46.88333333,1,,0.76518333,2.222222222,15.27651667,1.135511067
OTTAWA INTL A,2024-06-17 5:00,2024,6,17,5:00,14.9,13.2,90,33,8,5.914270117,,,15.5924,74.5555,11.08848333,0.008333333,0.116666667,181.8333333,1,,0.6924,2.213888889,15.4445,4.914270117
OTTAWA INTL A,2024-06-17 6:00,2024,6,17,6:00,14.3,14.3,100,19,4,15.061659,,,15.12548333,83.7853,12.41585,0,0,312,1.85,,0.82548333,1.111111111,16.2147,13.211659
OTTAWA INTL A,2024-06-17 7:00,2024,6,17,7:00,15,15,100,19,0,58.93975048,,,15.71136667,84.20908333,13.06606667,0,0.166666667,231.55,10.86666667,,0.71136667,0,15.79091667,48.07308381
OTTAWA INTL A,2024-06-17 8:00,2024,6,17,8:00,17.5,17.5,100,19,14,325.894286,,,17.10128333,81.21916667,13.86705,0.041666667,0.466666667,191.8166667,64.76666667,,0.39871667,3.847222222,18.78083333,261.1276193
OTTAWA INTL A,2024-06-17 9:00,2024,6,17,9:00,20.3,18.3,88,21,14,601.776933,,,19.7668,77.9792,15.8357,0.325,1.333333333,195.1,116.4666667,,0.5332,3.563888889,10.0208,485.3102663
OTTAWA INTL A,2024-06-17 10:00,2024,6,17,10:00,23.2,19.1,78,20,19,534.2562885,,,21.25496667,76.24516667,16.92443333,0.308333333,1.216666667,206.2333333,108.3833333,,1.94503333,4.969444445,1.75483333,425.8729552
OTTAWA INTL A,2024-06-17 11:00,2024,6,17,11:00,25.3,19.4,70,21,21,814.5249937,,,23.8062,70.58236667,18.15176667,0.458333333,1.641666667,204.1666667,246,,1.4938,5.375,0.58236667,568.5249937
OTTAWA INTL A,2024-06-17 12:00,2024,6,17,12:00,26.3,19.8,67,21,16,901.552865,,,25.82981667,66.45396667,19.12211667,0.508333333,1.641666667,196.5833333,103.6,,0.47018333,3.936111111,0.54603333,797.952865
OTTAWA INTL A,2024-06-17 13:00,2024,6,17,13:00,27.8,20.8,65,24,18,892.7168065,,,26.8929,63.32325,19.3565,0.808333333,2.125,197.2666667,120.1,,0.9071,4.191666667,1.67675,772.6168065
OTTAWA INTL A,2024-06-17 14:00,2024,6,17,14:00,28.4,21.5,65,23,20,871.6298453,,,27.94561667,61.65713333,19.91868333,0.891666667,2.291666667,192.2666667,93.31666667,,0.45438333,4.663888889,3.34286667,778.3131786
OTTAWA INTL A,2024-06-17 15:00,2024,6,17,15:00,29.1,20.7,60,17,15,566.3246642,,,28.58086667,60.7097,20.26248333,0.508333333,1.625,183.25,70.8,,0.51913333,3.658333334,0.7097,495.5246642
OTTAWA INTL A,2024-06-17 16:00,2024,6,17,16:00,30.2,21.3,58,23,10,564.1337525,,,29.6808,57.45695,20.40366667,0.425,1.55,203.0833333,100.2,,0.5192,2.352777778,0.54305,463.9337525
OTTAWA INTL A,2024-06-17 17:00,2024,6,17,17:00,29.6,21.4,61,18,17,448.4544635,,,30.15865,56.52936667,20.58435,0.433333333,1.541666667,197.4833333,53.05,,0.55865,4.288888889,4.47063333,395.4044635
